AIRLINE,ORIGIN AIRPORT,DESTINATION AIRPORT,DEPARTURE_DELAY,ARRIVAL_DELAY,CANCELlATION
WN,DEN,SNA,1,-4,0
WN,HOU,MSY,40,39,0
WN,MSY,MCI,27,12,0
WN,PHX,OMA,11,18,0
WN,PHX,SFO,5,0,0
WN,PHX,SJC,3,-5,0
WN,PHX,SLC,25,23,0
WN,PHX,SMF,17,10,0
WN,PIT,BWI,2,-14,0
WN,SAN,LAS,1,0,0
WN,IND,MCI,33,26,0
WN,ISP,BWI,-7,-10,0
WN,LAS,PHX,7,3,0
WN,LAS,SNA,3,-8,0
WN,MCI,DEN,31,13,0
WN,TPA,FNT,-1,-13,0
AA,LAX,MCO,-5,15,0
AA,LAX,STL,23,34,0
AA,DFW,ATL,4,0,0
AA,DFW,MSY,60,70,0
AA,ORD,BOS,16,15,0
AA,DFW,SFO,-4,-11,0
AA,LGA,DFW,-5,-3,0
AA,DFW,AUS,-4,-13,0
AA,MCO,MIA,2,5,0
AA,DFW,MEM,-3,-1,0
AA,SEA,ORD,43,45,0
AA,SFO,DFW,-1,-13,0
AA,DFW,SLC,33,28,0
AS,LIH,PDX,28,4,0
B6,MCO,DCA,-7,-8,0
DL,MSP,ABQ,-4,-18,0
EV,SAT,IAH,57,58,0
EV,OMA,EWR,1,-1,0
EV,IND,IAH,34,73,0
EV,PIT,IAH,14,70,0
EV,MDT,DTW,7,-8,0
EV,MLU,ATL,-6,12,0
F9,IAD,UST,5,0,0
F9,PHL,TPA,94,112,0
MQ,BTR,DFW,21,31,0
MQ,GSO,DFW,61,70,0
MQ,ORD,MSN,-4,-9,0
MQ,GRB,ORD,4,3,0
MQ,LEX,ORD,-200,-200,1
MQ,CMI,ORD,35,40,0
MQ,CAE,DFW,24,29,0
OO,OMA,DTW,37,23,0
OO,SLC,MFR,43,32,0
OO,LAX,PHX,-4,8,0
AA,SJU,JFK,29,15,0
AS,YAK,CDV,-21,-31,0
EV,LIT,ATL,0,14,0
EV,OKC,IAD,0,-10,0
MQ,GUC,DFW,127,146,0
UA,JAC,EWR,54,81,0
AA,PHX,ORD,29,35,0
DL,PDX,ATL,4,10,0
EV,VLD,ATL,3,17,0
OO,SBP,LAX,30,40,0
OO,RAP,MSP,-1,3,0
UA,RNO,IAH,7,0,0
UA,ORD,PDX,30,15,0
US,PHL,SJU,13,20,0
US,MCO,DCA,1,-2,0
US,MCO,PHL,0,-8,0
US,PHX,PHL,-7,-8,0
US,DCA,MCO,-6,-13,0
US,PHL,FLL,-6,3,0
US,PBI,PHL,-5,-7,0
VX,LGA,DAL,0,7,0
WN,BNA,PHL,13,9,0
WN,BOI,LAS,12,1,0
WN,DEN,GEG,5,17,0
WN,DEN,LAX,9,7,0
WN,DEN,PDX,2,10,0
WN,DEN,SLC,17,30,0
WN,DEN,SMF,14,24,0
WN,FLL,MKE,7,-14,0
WN,MDW,MSP,12,2,0
WN,PHX,HOU,4,12,0
WN,PHX,SNA,-1,-10,0
WN,RDU,HOU,23,41,0
WN,RNO,LAS,2,2,0
WN,RSW,ATL,0,3,0
WN,LAS,DAL,15,-2,0
WN,LAS,OAK,23,12,0
WN,LAS,RNO,9,3,0
WN,LAS,SLC,6,3,0
WN,LAX,SFO,3,3,0
UA,MCO,IAH,4,26,0
WN,BWI,SLC,21,11,0
WN,SAN,SJC,12,10,0
WN,SFO,LAS,-2,-4,0
WN,SLC,LAS,20,16,0
AA,ATL,DFW,0,-6,0
AA,BOS,ORD,10,17,0
AA,JFK,MCO,0,6,0
AA,LAX,ORD,-4,0,0
AA,DFW,IAD,4,3,0
AA,TPA,MIA,8,3,0
AA,SMF,DFW,28,29,0
AA,ICT,DFW,7,5,0
AA,SAT,DFW,-5,-11,0
AS,SEA,SFO,30,32,0
AS,SEA,LAS,1,11,0
AA,PDX,DFW,-2,-25,0
AA,FLL,ORD,42,18,0
AA,SFO,MIA,-5,-7,0
DL,ROC,ATL,-3,21,0
DL,SFO,ATL,-5,-5,0
DL,ATL,MCO,0,-14,0
DL,PBI,LGA,7,-4,0
EV,ORD,GRB,-1,-2,0
EV,CLE,LGA,-6,-31,0
EV,JAN,ATL,26,33,0
EV,ORD,MLI,32,43,0
MQ,MSP,ORD,42,31,0
MQ,DFW,MKE,56,54,0
MQ,ABI,DFW,32,38,0
MQ,ACT,DFW,11,15,0
MQ,OMA,ORD,-200,-200,1
OO,SFO,SMF,-7,4,0
OO,ORD,ICT,46,93,0
OO,SFO,ACV,-2,3,0
OO,MKE,ORD,11,45,0
OO,SFO,SLC,4,47,0
OO,SAT,ORD,46,23,0
UA,PHX,ORD,17,2,0
EV,ORD,OMA,1,-6,0
EV,BUF,DTW,12,17,0
EV,ORD,SGF,29,33,0
OO,DEN,SLC,0,22,0
OO,IAH,ASE,51,76,0
OO,MTJ,PHX,-3,11,0
UA,SFO,IAH,9,15,0
UA,IAH,HDN,28,27,0
DL,CMH,ATL,7,-2,0
DL,HNL,LAX,179,172,0
F9,PHX,DEN,32,41,0
OO,ORD,MKE,35,36,0
HA,HNL,OGG,0,16,0
AS,SIT,KTN,2,3,0
EV,ORD,RAP,45,45,0
US,SFO,PHX,-11,-3,0
US,FLL,DCA,35,38,0
DL,TPA,MSP,-2,-32,0
DL,TPA,LGA,-8,-20,0
EV,GSP,ATL,81,89,0
UA,SJC,IAH,-4,14,0
UA,ORD,EWR,-6,-18,0
UA,ORD,IAH,18,37,0
UA,JFK,SFO,-10,-25,0
UA,HDN,EWR,34,87,0
US,PBI,CLT,4,17,0
US,JFK,CLT,-11,-9,0
US,BWI,CLT,-7,-9,0
US,RSW,PHL,138,138,0
US,PHL,PBI,-1,-4,0
VX,FLL,LAX,9,-7,0
VX,LAX,DAL,12,1,0
WN,DCA,BNA,9,-5,0
WN,DCA,MDW,-2,-7,0
WN,DEN,SAN,22,15,0
WN,DTW,PHX,10,25,0
WN,EWR,DEN,4,25,0
WN,HOU,DAL,9,19,0
WN,MDW,SDF,13,11,0
WN,MDW,STL,-2,-7,0
WN,MSY,BWI,-4,-15,0
WN,OAK,LAX,-200,-200,1
WN,PDX,SJC,8,6,0
WN,PHX,OAK,24,6,0
WN,PVD,MCO,-1,-16,0
WN,PWM,BWI,-3,-8,0
WN,ROC,MCO,-7,-27,0
WN,ICT,LAS,35,25,0
WN,LAS,MDW,-1,-16,0
WN,LGA,HOU,-5,33,0
UA,LGA,DEN,6,10,0
UA,HNL,LAX,473,470,0
WN,DAL,DEN,-3,-20,0
WN,DAL,HOU,0,2,0
WN,DAL,OKC,-2,5,0
WN,SJC,LAS,15,18,0
WN,TUL,DAL,56,60,0
AA,TUS,DFW,17,13,0
AA,AUS,DFW,19,16,0
AA,RSW,ORD,27,35,0
AS,SJC,SEA,-1,9,0
AS,PHX,SEA,9,22,0
AS,DEN,SEA,0,17,0
AS,OGG,SMF,113,105,0
AS,ANC,KOA,20,-32,0
B6,SFO,JFK,-3,0,0
AA,DFW,MIA,14,13,0
DL,SLC,HNL,-1,-2,0
DL,DTW,FLL,9,33,0
DL,LAX,CMH,23,23,0
DL,LGA,PBI,-7,-11,0
DL,DEN,ATL,13,40,0
DL,BNA,ATL,2,7,0
DL,JFK,ATL,-2,-1,0
DL,LGA,ATL,-6,-14,0
DL,FLL,LGA,0,-16,0
DL,DTW,LAS,1,14,0
DL,DTW,MKE,-4,-8,0
DL,DTW,MSP,5,-11,0
DL,ATL,FLL,13,10,0
DL,DAY,ATL,-4,-10,0
DL,MCO,LGA,19,64,0
DL,DCA,ATL,-5,-20,0
DL,LAX,TPA,3,12,0
DL,DFW,ATL,14,8,0
EV,CLE,ORD,2,4,0
EV,SAV,LGA,-1,-10,0
EV,GRR,DTW,57,68,0
EV,ATL,BTR,5,19,0
EV,BQK,ATL,-4,18,0
MQ,LGA,BNA,-2,-16,0
MQ,DFW,TYR,68,70,0
NK,MCI,DTW,2,-11,0
OO,DTW,IND,-3,19,0
OO,ELP,LAX,-1,-11,0
OO,SLC,SEA,-3,18,0
OO,CVG,DTW,25,18,0
OO,ASE,DEN,98,119,0
OO,MSY,IAH,281,284,0
DL,DTW,SEA,16,6,0
DL,JFK,SJU,-5,34,0
DL,DTW,LAX,344,320,0
EV,JAN,IAH,13,26,0
HA,HNL,LIH,1,8,0
OO,DEN,ASE,2,91,0
UA,SEA,SFO,6,8,0
UA,PHL,ORD,14,3,0
DL,SEA,ATL,20,36,0
EV,DTW,AVP,110,114,0
UA,IAH,MCO,2,1,0
B6,FLL,JFK,-5,-26,0
DL,PNS,ATL,-1,-13,0
DL,PHX,SLC,3,4,0
EV,EWR,DTW,28,38,0
HA,LIH,HNL,0,14,0
UA,SAT,EWR,27,20,0
US,ORD,PHL,1,3,0
US,IND,CLT,-7,-13,0
US,CLT,EWR,-6,-7,0
US,PBI,DCA,5,3,0
US,MCO,CLT,-5,-4,0
US,CLE,CLT,-10,-9,0
WN,ABQ,HOU,39,42,0
WN,BNA,MDW,121,113,0
WN,EWR,MDW,37,47,0
WN,FLL,BWI,2,-3,0
WN,MCO,MDW,41,25,0
WN,MDW,LGA,-1,-15,0
WN,MHT,BWI,-3,-3,0
WN,ONT,SMF,1,1,0
WN,LAS,SAN,-1,-2,0
WN,LAX,PHX,10,14,0
UA,ORD,SFO,37,39,0
WN,BUR,OAK,3,2,0
WN,BWI,SJU,23,28,0
WN,SAT,HOU,-1,3,0
WN,SLC,DEN,7,9,0
WN,STL,ATL,12,9,0
AA,STL,DFW,0,9,0
AA,ORD,PHX,40,22,0
B6,JFK,PBI,-5,-13,0
B6,FLL,SWF,-5,-1,0
B6,DCA,CHS,-17,1,0
B6,JFK,RSW,4,-2,0
B6,BDL,RSW,34,37,0
DL,ATL,DAB,-2,-11,0
DL,ATL,MSP,36,11,0
DL,ATL,CVG,2,-13,0
DL,LGA,MCO,-5,-12,0
DL,ATL,ORF,7,-10,0
DL,ATL,CLE,-1,-16,0
DL,PBI,JFK,141,159,0
DL,ATL,SLC,0,-24,0
DL,ATL,IND,9,12,0
DL,FNT,ATL,20,25,0
B6,RSW,EWR,-2,-16,0
EV,LGA,CLT,30,34,0
EV,DTW,ATW,110,96,0
EV,OKC,ATL,0,-7,0
EV,ORD,FAR,70,75,0
MQ,SAV,DFW,60,69,0
MQ,ORD,FWA,45,59,0
MQ,TVC,ORD,-200,-200,1
MQ,CHA,ORD,55,61,0
MQ,SJT,DFW,21,49,0
NK,PBI,BOS,0,2,0
OO,ORD,SAT,28,43,0
OO,SJC,SEA,144,153,0
OO,ORD,ASE,22,63,0
OO,PSP,DEN,-3,6,0
UA,ORD,SEA,41,,0
AS,PSG,JNU,-18,-14,0
B6,JFK,SYR,-7,-2,0
DL,ATL,MDW,4,-10,0
EV,DTW,BNA,-1,-2,0
EV,ATL,AGS,-4,-9,0
OO,DTW,CLE,5,25,0
HA,KOA,HNL,-1,7,0
DL,ATL,DEN,-1,-27,0
EV,FAY,ATL,-3,3,0
EV,ATL,SGF,-5,-12,0
OO,BOI,SFO,95,79,0
UA,PDX,IAH,-1,7,0
DL,JAC,JFK,71,81,0
DL,RNO,SLC,-1,-1,0
EV,ATL,MOB,3,30,0
OO,MKG,ORD,117,123,0
UA,SLC,IAH,24,30,0
DL,ATL,CMH,-7,-16,0
DL,LAS,DTW,-6,-14,0
DL,MIA,JFK,20,9,0
EV,DAL,IAH,3,9,0
EV,BWI,ORD,2,5,0
EV,ORD,CID,-200,-200,1
EV,AGS,ATL,6,22,0
EV,ATL,ROA,6,,0
EV,CLT,ORD,66,49,0
OO,DEN,SBA,24,50,0
US,DFW,CLT,-6,14,0
WN,BHM,TPA,9,10,0
WN,MCO,PHL,10,22,0
WN,MDW,SAN,4,-4,0
WN,MSP,PHX,-1,-19,0
WN,OAK,SAN,2,6,0
WN,OAK,SNA,54,50,0
WN,RDU,ATL,-1,-1,0
WN,SAN,DEN,7,7,0
WN,LAS,SAT,-5,-7,0
WN,LAX,HOU,153,153,0
WN,LAX,SMF,26,22,0
WN,MCI,LAS,72,64,0
WN,BWI,MCO,2,-3,0
WN,BWI,MDW,9,-4,0
WN,SAT,ATL,61,50,0
WN,SJC,BUR,-4,-9,0
AA,DEN,DFW,21,37,0
AA,ORD,MIA,-2,-4,0
AA,PHL,DFW,-7,-9,0
AA,DFW,SAT,-1,-2,0
AA,SLC,DFW,2,-8,0
AA,LAS,DFW,-3,-9,0
AA,DFW,PHL,15,-1,0
AA,MCO,DFW,-6,-9,0
AA,LAS,ORD,6,5,0
AS,SEA,ANC,9,-2,0
AS,SEA,SJC,-1,-3,0
AS,OGG,PDX,196,173,0
B6,EWR,BOS,-5,-10,0
DL,DTW,RSW,81,80,0
DL,BOS,ATL,1,-7,0
DL,TPA,DTW,8,-7,0
DL,DTW,MCO,-4,-8,0
DL,ATL,RIC,0,-14,0
DL,DTW,DEN,7,18,0
EV,MOB,DFW,13,18,0
EV,DFW,LIT,0,2,0
EV,GPT,IAH,14,48,0
EV,GRR,ATL,48,67,0
EV,ATL,TRI,-4,-11,0
MQ,FAR,ORD,59,59,0
MQ,LEX,DFW,130,148,0
MQ,ORD,LIT,-1,8,0
OO,LWS,SLC,-1,-6,0
OO,ABQ,SLC,-5,6,0
OO,ORD,DTW,-200,-200,1
OO,CID,ATL,211,220,0
HA,HNL,KOA,-1,3,0
OO,DEN,LAS,18,49,0
OO,TUS,SLC,-3,-3,0
DL,ATL,JAN,10,4,0
EV,ATL,GSO,-4,-3,0
EV,LIT,IAH,11,12,0
B6,PBI,LGA,26,31,0
DL,AUS,ATL,21,13,0
DL,ATL,JFK,1,-15,0
EV,ATL,EVV,-3,-4,0
EV,MDT,ATL,8,28,0
OO,FAT,SFO,0,-19,0
B6,MCO,PVD,0,-1,0
EV,EWR,MKE,13,31,0
EV,ATL,EWR,22,-3,0
OO,JAC,LAX,133,113,0
OO,SBN,DTW,1,-4,0
EV,ATL,GNV,-8,-13,0
OO,LAS,LAX,1,3,0
US,ORD,CLT,-5,-1,0
US,DEN,CLT,-7,9,0
VX,SAN,SFO,-4,-12,0
WN,AUS,MCO,0,0,0
WN,MDW,SMF,-4,-20,0
WN,MSP,MDW,64,48,0
WN,OKC,HOU,37,44,0
WN,LAX,TUS,40,34,0
WN,MCI,LAX,22,-4,0
UA,ORD,LAX,7,-9,0
WN,BUR,PHX,-1,-5,0
WN,CRP,HOU,23,21,0
WN,SAN,SMF,1,0,0
WN,SEA,DEN,30,16,0
WN,SFO,SNA,-3,-17,0
WN,TPA,SJU,61,69,0
AA,DFW,OGG,-200,-200,1
AA,LGA,ORD,27,22,0
AA,PHX,DFW,20,17,0
AA,SJU,DFW,7,0,0
AA,LGA,MIA,-6,-1,0
AA,ABQ,DFW,-5,-3,0
AA,SFO,LAX,-5,19,0
AS,SEA,PSP,-4,-6,0
AS,PDX,SAN,0,-9,0
AA,SAN,ORD,12,28,0
DL,MCO,MSP,13,-12,0
DL,ATL,DTW,1,-12,0
DL,DTW,ORD,-2,-4,0
DL,ATL,DFW,0,-2,0
DL,DTW,SLC,20,4,0
DL,MIA,LGA,9,9,0
DL,RSW,JFK,-4,-20,0
EV,ATL,AEX,-3,13,0
MQ,ORD,ROC,-3,-10,0
MQ,DTW,ORD,9,10,0
MQ,GRK,DFW,0,7,0
MQ,ORD,PIT,103,96,0
MQ,FSD,DFW,58,83,0
MQ,DFW,LAW,63,72,0
OO,LAX,RNO,-1,4,0
OO,EKO,SLC,-17,-30,0
OO,RNO,SFO,-7,-16,0
OO,GJT,PHX,26,20,0
EV,ATL,ILM,-3,-11,0
OO,SLC,SFO,32,9,0
UA,TPA,CLE,1,-1,0
DL,SRQ,DTW,176,173,0
EV,DFW,IAH,7,3,0
EV,ATL,CRW,-1,-2,0
UA,IAH,LAS,57,40,0
B6,BOS,DCA,18,9,0
B6,SJU,MCO,4,-5,0
EV,AVL,ATL,23,24,0
EV,ATL,CAE,26,28,0
EV,ILM,ATL,1,10,0
OO,FWA,ORD,-200,-200,1
B6,JFK,FLL,5,-2,0
EV,ATL,GPT,2,8,0
OO,SAN,LAX,-9,-11,0
US,MIA,DCA,34,35,0
US,DEN,PHX,2,9,0
US,TPA,PHL,7,3,0
VX,SFO,LAS,0,-2,0
WN,DAY,MCO,27,19,0
WN,DEN,GRR,98,119,0
WN,ECP,BWI,24,29,0
WN,ELP,DAL,47,43,0
WN,GEG,PHX,1,-13,0
WN,MDW,DAL,4,13,0
WN,MDW,EWR,78,91,0
WN,MKE,BOS,-5,-6,0
WN,ONT,LAS,21,36,0
WN,SAN,OAK,6,-2,0
WN,LAS,BUR,5,-5,0
WN,LAS,SFO,15,7,0
WN,LAX,BNA,36,34,0
WN,SEA,SMF,31,33,0
WN,STL,SFO,44,21,0
WN,TPA,MDW,-3,-25,0
AA,LAX,JFK,39,56,0
AA,AUS,LAX,23,16,0
AA,MIA,STX,-2,12,0
AA,RIC,DFW,-4,-10,0
AA,MIA,STT,-2,21,0
AA,DFW,MCO,176,192,0
AA,ORD,DFW,13,11,0
AA,DFW,LAX,-4,-19,0
AS,SNA,SEA,-1,-8,0
AS,SEA,GEG,-5,-6,0
AS,HNL,PDX,74,45,0
B6,MCO,BOS,19,6,0
B6,HOU,JFK,66,79,0
DL,RSW,ATL,8,8,0
DL,EYW,ATL,-2,5,0
DL,ATL,DCA,32,22,0
DL,SEA,ANC,20,17,0
DL,RIC,ATL,2,2,0
DL,ATL,BDL,-3,-21,0
DL,ATL,LAX,-1,-18,0
EV,IAD,ORF,-1,-2,0
EV,IAD,IND,-4,-8,0
EV,ORD,MSP,-3,-6,0
EV,HSV,ATL,11,15,0
MQ,DFW,RAP,43,23,0
MQ,JAX,ORD,77,54,0
MQ,DRO,DFW,114,117,0
EV,IAD,SAV,45,53,0
NK,LAS,DTW,-4,-9,0
OO,PDX,BUR,-1,-9,0
OO,ASE,LAX,142,133,0
OO,ORD,MCI,109,110,0
OO,SPI,ORD,36,27,0
OO,COS,LAX,54,48,0
UA,IAD,SFO,13,-9,0
UA,IAH,MTJ,114,97,0
B6,DCA,PBI,5,-11,0
EV,ATL,FAY,97,90,0
EV,MFE,IAH,7,2,0
EV,TUL,IAD,0,-9,0
OO,SFO,FAT,13,15,0
OO,PIH,SLC,0,-5,0
OO,BUR,SFO,173,172,0
UA,IAD,LAX,15,40,0
UA,IAD,STT,24,8,0
B6,SLC,LGB,-4,-19,0
B6,TPA,JFK,-1,-5,0
EV,DEN,TUS,-6,2,0
EV,CHO,ATL,-5,12,0
EV,EWR,CLT,-4,-12,0
NK,DFW,MSY,57,56,0
OO,JAC,SFO,55,45,0
MQ,RDU,LGA,44,33,0
UA,IAD,DEN,7,4,0
US,LAS,DCA,-3,-7,0
WN,ABQ,PHX,114,108,0
WN,ATL,MCO,17,10,0
WN,AUS,HRL,32,42,0
WN,BOS,DEN,78,82,0
WN,DEN,HOU,-2,15,0
WN,DTW,BWI,2,-6,0
WN,MCO,BWI,47,46,0
WN,OKC,DEN,24,4,0
WN,ONT,OAK,-2,-2,0
WN,PHL,PBI,42,43,0
WN,RDU,MCO,12,10,0
WN,LAX,OAK,22,15,0
WN,LGA,MKE,25,41,0
WN,MAF,HOU,17,27,0
WN,DAL,MDW,46,21,0
WN,SMF,SAN,7,-5,0
WN,SNA,LAS,-2,-2,0
WN,TPA,PIT,129,124,0
AA,ONT,DFW,59,71,0
AA,MIA,LAX,40,39,0
AA,LAX,DCA,6,5,0
AA,DFW,FLL,28,35,0
AA,IAH,DFW,-3,-5,0
AA,DFW,SAN,6,-6,0
AA,TUL,DFW,24,12,0
AA,STL,LAX,19,10,0
AS,SEA,SNA,3,-10,0
B6,SJU,FLL,-10,-13,0
AA,SFO,ORD,5,8,0
AA,EGE,DFW,4,16,0
DL,PBI,ATL,7,13,0
DL,ATL,SAT,18,1,0
DL,BWI,ATL,-4,-2,0
DL,ATL,MIA,2,-9,0
DL,IAH,ATL,41,35,0
DL,ATL,RSW,-4,-19,0
DL,LAX,ATL,14,14,0
EV,SHV,DFW,11,30,0
EV,ORD,COS,-1,-10,0
F9,IAH,DEN,9,-6,0
MQ,LGA,STL,-1,17,0
HA,HNL,OGG,9,7,0
MQ,LGA,CHO,55,52,0
MQ,GJT,DFW,98,117,0
MQ,ORD,CVG,28,25,0
MQ,LBB,DFW,34,31,0
MQ,TYS,ORD,-200,-200,1
MQ,BNA,JFK,22,17,0
MQ,DTW,LGA,-6,-11,0
OO,PDX,SBA,30,33,0
OO,RDM,SLC,3,7,0
OO,ASE,ORD,181,170,0
OO,ABQ,PHX,-1,-6,0
AA,MIA,MCO,0,0,0
AA,MIA,SJU,6,21,0
EV,IAD,TYS,74,69,0
UA,SFO,SEA,52,42,0
UA,PDX,SFO,36,23,0
EV,DTW,DCA,-6,-24,0
OO,LAX,CLD,18,19,0
US,SJC,PHX,-7,-15,0
DL,MSY,ATL,24,23,0
EV,SBN,ORD,-3,-1,0
HA,OGG,HNL,11,18,0
OO,SBA,SFO,-7,-8,0
UA,ORD,SMF,18,11,0
B6,JFK,BOS,14,0,0
EV,EWR,MCI,-7,3,0
OO,GUC,ORD,69,87,0
OO,CID,MSP,60,49,0
UA,LAX,MSY,0,18,0
UA,DEN,ORD,31,40,0
UA,ORD,DEN,36,33,0
UA,LAX,DEN,2,11,0
US,OAK,PHX,-3,0,0
US,DCA,BOS,-6,-15,0
WN,ATL,LAX,3,-2,0
WN,AUS,LAS,-1,-18,0
WN,FLL,RDU,34,23,0
WN,HOU,LAX,141,115,0
WN,MCO,IND,-2,-11,0
WN,MSY,EWR,46,46,0
WN,PHX,RNO,-1,-14,0
WN,SAN,PHX,12,7,0
WN,LAX,LAS,25,25,0
WN,BWI,ATL,-2,9,0
WN,SAT,DAL,23,15,0
WN,TPA,MHT,17,10,0
AA,JFK,LAX,-3,-14,0
AA,DFW,STL,28,17,0
AA,DFW,SMF,16,5,0
AA,RDU,MIA,-5,-15,0
AA,IAH,MIA,0,4,0
AA,DCA,DFW,-3,-6,0
AA,DFW,TPA,10,5,0
AA,CMH,DFW,2,-4,0
AA,DFW,MTJ,33,51,0
AA,DFW,SEA,-1,-2,0
AA,MIA,LGA,1,17,0
AS,SEA,TUS,-7,-14,0
B6,EWR,MCO,-10,-12,0
DL,EWR,DTW,5,-9,0
DL,ATL,SJU,14,23,0
DL,MCO,ATL,-3,0,0
DL,SFO,MSP,-1,-12,0
DL,ATL,PHL,1,-19,0
EV,DFW,BTR,57,,0
EV,DFW,CRP,-1,3,0
EV,ORD,IND,-3,-10,0
EV,SDF,EWR,-5,-17,0
EV,HPN,ATL,-200,-200,1
EV,DTW,BWI,-3,-22,0
EV,DTW,IAH,47,85,0
MQ,COU,ORD,45,28,0
MQ,FWA,DFW,12,23,0
MQ,DFW,GCK,-1,-10,0
MQ,ORD,TYS,2,5,0
NK,IAH,ATL,14,26,0
OO,DEN,CID,88,78,0
OO,DTW,MBS,82,81,0
OO,DEN,GTF,33,54,0
OO,BFL,PHX,-8,-14,0
OO,ELP,PHX,-5,-1,0
OO,DRO,PHX,12,5,0
UA,SFO,EWR,40,41,0
DL,FLL,JFK,-6,-20,0
EV,CLE,DCA,-2,-19,0
OO,SLC,FAT,-8,-16,0
DL,MSY,LAX,19,21,0
UA,CLE,LAX,-4,-34,0
EV,MCI,ORD,28,26,0
HA,HNL,OGG,21,22,0
OO,CLE,MSP,14,-1,0
OO,BZN,SFO,6,-6,0
UA,DEN,MCO,32,73,0
OO,HDN,ORD,74,129,0
UA,ORD,SAN,43,43,0
US,SMF,PHX,-1,-1,0
US,SAN,PHX,-5,1,0
WN,BNA,TPA,11,8,0
WN,DCA,ATL,-1,13,0
WN,DCA,STL,9,5,0
WN,FLL,TPA,-3,-21,0
WN,MCO,DAL,-1,-2,0
WN,PDX,SMF,44,33,0
WN,PIT,PHX,9,-10,0
WN,RIC,ATL,58,72,0
WN,SAN,BNA,31,45,0
WN,LAS,PDX,17,13,0
WN,LAX,SJC,1,-4,0
UA,DEN,MSY,44,75,0
WN,DAL,BWI,21,5,0
WN,DAL,SAT,2,3,0
WN,SFO,STL,34,34,0
WN,SMF,LAX,11,46,0
WN,SNA,DAL,7,7,0
AA,ORD,SAN,-6,-10,0
AA,LAX,LAS,1,-5,0
AA,DFW,BOS,12,0,0
AA,BDL,DFW,13,-3,0
AA,DFW,LAS,30,25,0
AA,MIA,TPA,14,18,0
AA,RNO,DFW,26,47,0
B6,BOS,IAD,7,-7,0
B6,STT,SJU,-24,-27,0
B6,PVD,FLL,13,5,0
DL,MKE,DTW,-4,22,0
DL,SAN,MSP,-3,4,0
AA,JAX,DFW,-2,-10,0
EV,IAD,BDL,-5,-17,0
EV,DEN,MOT,-7,10,0
EV,IAD,DAY,70,68,0
EV,SDF,ATL,-4,-10,0
EV,IAD,JAX,40,37,0
F9,DEN,SAN,0,25,0
HA,OGG,HNL,-1,8,0
MQ,ORD,LSE,-3,-12,0
MQ,ORD,MEM,-5,5,0
MQ,JFK,RDU,-6,19,0
NK,ACY,FLL,15,2,0
NK,RSW,DTW,0,34,0
NK,DEN,PHX,31,70,0
OO,ASE,ATL,137,161,0
OO,ABQ,LAX,2,12,0
OO,EUG,SLC,-1,-2,0
OO,LAX,SMX,-5,-6,0
OO,SBA,PHX,-2,4,0
DL,PVD,ATL,-3,-16,0
EV,BNA,IAH,-2,32,0
EV,MLI,ATL,16,26,0
EV,IAD,RDU,11,8,0
OO,DEN,DFW,39,84,0
OO,ONT,SFO,0,-9,0
EV,IAD,GSP,-6,-8,0
EV,EWR,IAD,4,-2,0
NK,PHX,DEN,-4,4,0
DL,ATL,EWR,5,-17,0
DL,ATL,TPA,25,13,0
EV,HSV,IAH,49,57,0
EV,IAD,CAE,69,61,0
DL,BUF,ATL,-3,2,0
DL,PHX,MSP,-1,-17,0
DL,BDL,ATL,1,-2,0
EV,TUL,ATL,63,97,0
NK,LAS,PHL,111,120,0
UA,DEN,EWR,85,102,0
UA,HNL,SFO,54,56,0
US,LAS,PHX,-3,-6,0
US,ONT,PHX,18,16,0
US,SNA,PHX,-7,-2,0
WN,ATL,SAN,33,2,0
WN,AUS,DCA,-5,-16,0
WN,BDL,ATL,14,12,0
WN,BNA,BOS,-5,-23,0
WN,DEN,DAY,23,39,0
WN,DEN,OKC,54,100,0
WN,EWR,HOU,42,91,0
WN,HOU,EWR,50,55,0
WN,HOU,LGA,34,20,0
WN,MSY,HOU,28,48,0
WN,OAK,ONT,18,15,0
WN,PHL,PHX,28,9,0
WN,PHX,DEN,9,1,0
WN,PHX,MSP,25,15,0
WN,IND,BWI,3,-14,0
WN,LAS,MCI,-5,-16,0
WN,LAX,DEN,42,48,0
WN,MCI,PHX,24,-1,0
WN,BUF,BWI,21,24,0
WN,BUR,SJC,2,5,0
WN,BUR,SMF,0,3,0
WN,CMH,MCO,35,33,0
WN,DAL,LBB,0,-2,0
WN,DAL,LGA,93,103,0
WN,SAT,LAS,3,-16,0
WN,SJC,LAX,-1,-14,0
WN,SMF,PHX,26,23,0
AA,DFW,ORF,48,49,0
AS,OME,ANC,-1,1,0
B6,FLL,LGA,5,13,0
DL,ATL,PIT,8,-3,0
DL,ORD,ATL,15,2,0
DL,RSW,LGA,8,4,0
DL,SNA,ATL,-5,-10,0
EV,ATL,EWN,3,-2,0
EV,ORD,LNK,31,23,0
F9,CLE,ATL,24,21,0
MQ,PNS,DFW,31,31,0
MQ,DFW,GRR,110,111,0
MQ,DFW,COU,51,37,0
MQ,DFW,SPS,52,48,0
OO,SMF,LAX,-1,-12,0
OO,CVG,MSP,-9,-4,0
OO,LAX,LAS,35,30,0
OO,RAP,SLC,1,-2,0
MQ,BWI,ORD,16,10,0
OO,CPR,DEN,-200,-200,1
UA,DEN,IAH,36,77,0
UA,MTJ,ORD,38,61,0
