AIRLINE,ORIGIN AIRPORT,DESTINATION AIRPORT,DEPARTURE_DELAY,ARRIVAL_DELAY,CANCELlATION
OO,ONT,DEN,119,116,0
UA,MSP,DEN,-4,-23,0
UA,PBI,IAH,-5,-3,0
UA,PHX,IAH,111,123,0
UA,RSW,IAH,0,-1,0
UA,EWR,MCO,3,-18,0
UA,OMA,ORD,12,-6,0
US,SMF,PHX,-9,12,0
US,OAK,PHX,-2,8,0
US,PVD,CLT,-5,-14,0
UA,RNO,DEN,-3,14,0
UA,PIT,IAH,22,24,0
UA,DEN,IAH,-8,-4,0
WN,BOS,BWI,-4,-26,0
WN,LAS,BWI,2,-25,0
WN,ABQ,HOU,7,22,0
WN,PHX,SLC,1,-6,0
WN,PIT,FLL,-1,-26,0
WN,PVD,BWI,6,-13,0
WN,SFO,ATL,-6,-16,0
UA,SFO,ORD,-3,-4,0
UA,MCO,EWR,-5,-18,0
UA,PDX,IAH,13,11,0
UA,BOS,ORD,-3,-11,0
UA,SFO,LAX,5,-11,0
UA,SAT,LAX,16,-3,0
UA,BOS,LAX,3,-5,0
UA,SEA,EWR,6,-14,0
UA,LAX,ORD,7,-16,0
US,IAH,PHX,-7,-4,0
US,MCO,PHX,-3,10,0
US,SFO,PHX,-3,3,0
AA,DFW,MCO,6,3,0
AA,MIA,PHL,4,14,0
AA,SLC,DFW,1,12,0
AA,DCA,DFW,-200,-200,1
AA,MIA,DFW,-1,-1,0
AA,BWI,MIA,43,31,0
AA,DFW,LGA,-6,-5,0
AA,LGA,DFW,-200,-200,1
AA,DEN,ORD,1,-27,0
AA,MCI,DFW,6,3,0
AA,MCO,DFW,-200,-200,1
AA,SFO,DFW,-200,-200,1
AA,TUL,DFW,-4,-11,0
AA,LGA,MIA,68,50,0
AA,LIT,DFW,-5,-10,0
AA,MIA,LGA,-2,-9,0
AA,LAS,DFW,-3,7,0
AA,PDX,DFW,-4,-3,0
AA,TPA,DFW,-6,-20,0
AA,SMF,DFW,11,31,0
AA,MSY,MIA,-5,-13,0
AA,LAX,ORD,-3,-26,0
AA,OMA,DFW,-6,5,0
AA,OKC,DFW,10,30,0
AS,SEA,ANC,-3,-13,0
AS,FAI,ANC,-16,-9,0
AS,SEA,SJC,-10,-9,0
AS,SEA,OAK,-5,-16,0
AS,PDX,SJC,-5,-13,0
AS,LAX,SEA,-5,-9,0
AS,PHX,SEA,-5,-12,0
AS,DEN,SEA,-11,-34,0
AS,GEG,SEA,-2,3,0
B6,RSW,JFK,-3,-2,0
B6,PBI,JFK,-1,9,0
B6,JFK,PBI,-6,-22,0
B6,TPA,JFK,-7,-5,0
B6,FLL,LGA,-1,2,0
B6,OAK,LGB,-8,-10,0
B6,LGA,FLL,0,-6,0
B6,JFK,MCO,-3,-19,0
B6,EWR,FLL,-4,-21,0
B6,JFK,TPA,-6,-1,0
B6,PSE,JFK,-3,-5,0
B6,MSY,JFK,-10,-18,0
B6,AUS,JFK,-1,-10,0
B6,BQN,JFK,1,15,0
B6,TPA,BOS,-6,-12,0
B6,JAX,JFK,0,8,0
B6,DCA,BOS,-3,1,0
DL,JFK,ATL,5,-19,0
DL,LGA,DTW,4,-1,0
DL,RNO,SLC,0,18,0
DL,BOS,JFK,-4,-8,0
DL,BOS,MSP,0,2,0
DL,LGA,ATL,1,-32,0
DL,ORD,ATL,2,-21,0
DL,ANC,MSP,-3,-40,0
DL,ATW,ATL,1,-32,0
DL,PHX,ATL,124,107,0
DL,PNS,ATL,-6,-20,0
DL,MCO,SLC,-6,-10,0
AA,ONT,DFW,-200,-200,1
AA,DCA,MIA,5,-1,0
DL,RIC,ATL,-6,-28,0
DL,LAX,ATL,-1,-20,0
DL,BOS,ATL,-2,-22,0
DL,LAS,DTW,-1,-22,0
DL,OKC,ATL,-10,-3,0
DL,MCO,MSP,-10,-7,0
DL,MEM,ATL,17,-6,0
DL,TUL,ATL,-5,-24,0
DL,BWI,DTW,-9,-19,0
B6,BOS,PHL,-6,-21,0
B6,MCO,LGA,-3,2,0
B6,FLL,JFK,10,17,0
B6,SJU,JFK,27,59,0
B6,BOS,DCA,-8,-23,0
EV,TYS,DFW,-1,10,0
EV,MHT,ORD,-5,-4,0
EV,SAV,EWR,86,85,0
EV,MEM,EWR,-8,-20,0
EV,CLT,ORD,-1,18,0
EV,TYS,IAD,-7,-2,0
EV,GRB,ORD,-4,-10,0
EV,ABE,DTW,-8,-20,0
EV,JAN,ATL,-1,-10,0
EV,OAJ,ATL,-8,-3,0
EV,FAR,ORD,3,0,0
EV,JAN,ORD,-4,-19,0
EV,ERI,ORD,16,19,0
EV,ATW,ORD,0,0,0
EV,LEX,ORD,-4,-11,0
EV,CWA,ORD,-10,-3,0
F9,MSO,DEN,-200,-200,1
F9,ORD,MIA,-200,-200,1
F9,CLE,FLL,-4,-22,0
F9,IAH,SFO,-8,-6,0
F9,SEA,DEN,5,0,0
F9,SFO,IAH,-8,1,0
F9,TTN,ATL,-3,-11,0
F9,ATL,TTN,19,24,0
HA,HNL,ITO,-7,-4,0
MQ,MAF,DFW,-200,-200,1
MQ,AMA,DFW,-200,-200,1
MQ,CLL,DFW,-200,-200,1
MQ,HOU,DFW,-200,-200,1
MQ,DFW,BTR,-200,-200,1
MQ,JLN,DFW,-200,-200,1
MQ,CID,DFW,-200,-200,1
MQ,MLI,DFW,-200,-200,1
MQ,GSP,DFW,-200,-200,1
MQ,RDU,JFK,-5,3,0
MQ,CVG,MIA,-4,-7,0
MQ,MHK,DFW,-200,-200,1
MQ,MOB,DFW,-200,-200,1
MQ,TLH,DFW,-200,-200,1
MQ,PNS,MIA,-5,-12,0
MQ,BHM,MIA,0,-5,0
MQ,CVG,DFW,-200,-200,1
MQ,CAE,DFW,-200,-200,1
MQ,TXK,DFW,-200,-200,1
NK,OAK,LAS,-9,-8,0
NK,DFW,OAK,0,-29,0
NK,ACY,RSW,102,86,0
NK,DTW,LGA,-2,58,0
NK,DFW,FLL,3,35,0
OO,SMF,LAX,-9,-2,0
OO,RAP,DEN,0,8,0
OO,TUS,SFO,4,6,0
OO,EAU,ORD,-8,-29,0
OO,DLH,ORD,-4,-4,0
OO,FSD,ORD,-3,2,0
OO,AUS,SFO,-4,-16,0
OO,FAT,SEA,-3,3,0
OO,ONT,PDX,-10,-19,0
OO,INL,BRD,-10,-3,0
OO,CMX,ORD,-200,-200,1
OO,SMF,SFO,-200,-200,1
OO,BOI,LAX,39,30,0
OO,SPI,ORD,4,5,0
OO,CLD,LAX,54,88,0
OO,COD,DEN,-1,-1,0
OO,FAT,SFO,0,7,0
MQ,CMH,MIA,-5,-11,0
MQ,LRD,DFW,-200,-200,1
OO,PSC,DEN,1,4,0
OO,CPR,DEN,4,9,0
OO,ACV,SFO,-10,10,0
OO,DAL,IAH,22,12,0
OO,PAH,ORD,-9,-23,0
OO,PSC,SFO,-4,-1,0
OO,CID,ORD,10,-1,0
OO,EUG,SFO,-3,-7,0
OO,DFW,DEN,-4,9,0
OO,MRY,SFO,-5,-12,0
OO,SLC,LAX,4,-6,0
OO,ESC,DTW,-2,-21,0
OO,MFR,SFO,-3,-6,0
OO,FAT,DEN,-1,33,0
UA,SFO,EWR,-9,-23,0
UA,LAS,IAH,0,-7,0
UA,EWR,SFO,1,-20,0
EV,ISN,DEN,-2,-9,0
HA,HNL,LIH,-4,-2,0
OO,PSP,SFO,31,17,0
OO,PSP,DEN,131,144,0
UA,SAT,IAH,8,0,0
UA,LAX,EWR,0,-32,0
UA,LAX,SFO,-2,-14,0
EV,CLE,IAD,-5,-1,0
EV,CAE,IAD,2,7,0
F9,PHX,DEN,0,4,0
UA,SMF,IAH,8,19,0
UA,JFK,SFO,0,-4,0
US,BOS,PHX,9,13,0
US,BOS,CLT,-4,-3,0
US,DTW,MIA,-4,-26,0
UA,FLL,EWR,-5,-10,0
WN,GEG,DEN,-1,-9,0
WN,SAT,STL,-6,-22,0
WN,ONT,DEN,4,0,0
UA,CLE,EWR,-3,-21,0
US,DFW,PHX,7,8,0
AA,MFE,DFW,-200,-200,1
AA,STL,DFW,-8,-17,0
AA,SJU,MIA,-8,11,0
AA,MKE,DFW,0,-11,0
AS,SEA,SFO,-3,-3,0
AS,SEA,LAS,-3,0,0
B6,BTV,JFK,-12,-16,0
B6,JFK,FLL,-2,-2,0
B6,SFO,LGB,-8,-14,0
B6,PBI,BOS,16,28,0
B6,MCO,JFK,-5,10,0
B6,SJU,MCO,93,88,0
DL,BDL,ATL,-4,-26,0
DL,RDU,ATL,56,39,0
DL,SFO,SLC,-1,-2,0
EV,TUS,IAH,8,19,0
EV,PIA,ATL,-5,-24,0
F9,IND,DEN,-9,-19,0
F9,MCI,DEN,2,6,0
F9,DFW,DEN,57,52,0
MQ,FSM,DFW,-200,-200,1
MQ,AEX,DFW,-200,-200,1
MQ,SPS,DFW,-200,-200,1
MQ,ACT,DFW,-200,-200,1
MQ,SJT,DFW,-200,-200,1
MQ,JAN,DFW,-200,-200,1
HA,HNL,OGG,-5,-1,0
OO,OKC,LAX,-3,9,0
OO,FAR,DEN,5,-3,0
UA,SFO,IAH,-5,-2,0
UA,EWR,FLL,-8,-37,0
OO,MTJ,DEN,-7,2,0
NK,RSW,DTW,-6,7,0
OO,GCC,RKS,-5,-9,0
UA,MSY,EWR,-2,-14,0
UA,ORD,MCO,-5,-21,0
EV,RIC,ORD,0,4,0
OO,RDM,SFO,-9,-23,0
HA,OGG,HNL,-8,-4,0
OO,SJC,SLC,-10,12,0
OO,ORD,MBS,-3,-13,0
US,EWR,CLT,6,15,0
WN,PHX,BWI,0,-24,0
UA,SEA,IAD,-5,-29,0
UA,LAS,SFO,-4,-20,0
AA,DFW,MIA,-7,-18,0
AA,BNA,DFW,-200,-200,1
AA,PHX,DFW,-7,-6,0
AA,BOS,MIA,-5,-17,0
AA,LAX,STL,-1,-11,0
AS,OAK,SEA,-2,-8,0
AS,SEA,LAX,1,-4,0
B6,BOS,IAD,-7,-24,0
B6,LAX,JFK,10,-11,0
B6,DCA,FLL,-7,-14,0
B6,DTW,BOS,-7,-35,0
AA,BNA,LAX,-3,-8,0
DL,PHL,ATL,-2,-31,0
DL,PHX,MSP,106,93,0
B6,SJU,FLL,15,19,0
EV,VPS,IAH,-3,-3,0
EV,GUC,DEN,7,12,0
F9,MIA,LGA,38,40,0
MQ,RIC,MIA,-1,-15,0
MQ,DTW,LGA,-7,-25,0
MQ,ORF,MIA,-5,-4,0
OO,MOT,DEN,-10,-29,0
AA,STL,MIA,-8,-28,0
B6,BOS,FLL,-4,-20,0
EV,MLU,IAH,29,28,0
OO,MAF,DEN,-200,-200,1
NK,LAX,LAS,-5,-9,0
UA,PDX,ORD,-2,-13,0
B6,JFK,SJU,-2,-23,0
HA,KOA,HNL,6,11,0
OO,EUG,SLC,-7,-10,0
US,RNO,PHX,-10,-5,0
US,PHX,CLT,14,-7,0
WN,CMH,ATL,136,116,0
WN,HOU,ATL,-3,-7,0
WN,HOU,PHX,-2,-4,0
AA,DTW,DFW,-200,-200,1
AA,BOS,JFK,-2,-13,0
AA,DFW,DCA,-200,-200,1
AA,MSP,DFW,3,-6,0
AS,SEA,SNA,-6,-5,0
B6,BDL,DCA,-8,-23,0
B6,SJU,BOS,76,90,0
B6,FLL,EWR,0,8,0
DL,MOB,ATL,-2,-13,0
DL,SAN,SLC,-4,-10,0
DL,LAS,SLC,-6,-13,0
DL,DCA,DTW,-6,3,0
DL,SMF,SLC,-7,16,0
DL,DEN,DTW,-2,-44,0
DL,SFO,ATL,1,-3,0
DL,LGA,MSP,-4,-4,0
EV,LAW,DFW,364,376,0
EV,BRO,DFW,-11,-24,0
EV,PIB,MEI,-8,-11,0
EV,CHS,IAH,8,36,0
EV,MEM,IAH,6,9,0
EV,MGM,ATL,-6,-12,0
F9,SLC,DEN,2,14,0
F9,OMA,DEN,-6,-12,0
MQ,FAR,DFW,-200,-200,1
MQ,DCA,JFK,164,161,0
